Epoch,Joint,Rec,KLD
639,204.105,0.295,0.440
640,202.629,0.292,0.440
641,201.528,0.291,0.444
642,201.431,0.291,0.438
643,206.322,0.299,0.437
644,203.294,0.294,0.440
645,201.975,0.293,0.433
646,200.790,0.291,0.437
647,201.166,0.292,0.438
648,200.705,0.291,0.434
649,200.576,0.291,0.434
650,200.058,0.291,0.433
651,201.022,0.292,0.437
652,200.373,0.292,0.434
653,200.144,0.291,0.435
654,199.453,0.291,0.429
655,199.311,0.291,0.430
656,199.694,0.291,0.430
657,200.943,0.293,0.431
658,199.022,0.291,0.430
659,198.916,0.291,0.428
660,199.428,0.292,0.432
661,199.261,0.292,0.430
662,199.873,0.293,0.428
663,199.371,0.292,0.427
664,198.018,0.290,0.427
665,198.041,0.291,0.426
666,199.404,0.293,0.426
667,198.422,0.292,0.427
668,199.068,0.293,0.425
669,197.415,0.291,0.424
670,197.943,0.292,0.423
671,197.085,0.290,0.429
672,197.818,0.292,0.423
673,197.465,0.292,0.420
674,197.381,0.292,0.421
675,196.796,0.291,0.426
676,196.738,0.291,0.419
677,195.542,0.289,0.423
678,197.703,0.293,0.424
679,196.918,0.292,0.418
680,197.319,0.293,0.421
681,195.755,0.291,0.420
682,195.848,0.291,0.417
683,195.422,0.290,0.419
684,196.139,0.292,0.416
685,196.364,0.292,0.417
686,195.640,0.291,0.417
687,194.573,0.290,0.413
688,195.811,0.292,0.413
689,195.104,0.291,0.415
690,194.060,0.290,0.415
691,194.872,0.291,0.415
692,194.540,0.291,0.417
693,195.054,0.292,0.413
694,193.177,0.289,0.417
695,195.334,0.293,0.409
696,194.132,0.291,0.413
697,194.561,0.292,0.412
698,194.551,0.292,0.415
699,193.210,0.290,0.412
700,193.231,0.291,0.410
701,193.937,0.292,0.406
702,193.107,0.291,0.411
703,193.473,0.292,0.412
704,191.771,0.289,0.407
705,191.389,0.289,0.409
706,191.615,0.289,0.408
707,191.755,0.290,0.405
708,192.944,0.292,0.406
709,192.116,0.291,0.408
710,192.163,0.291,0.404
711,192.023,0.291,0.405
712,193.624,0.294,0.409
713,192.425,0.292,0.403
714,191.880,0.292,0.403
715,190.825,0.290,0.405
716,191.363,0.291,0.404
717,190.752,0.290,0.403
718,191.177,0.291,0.399
719,190.473,0.290,0.402
720,190.204,0.290,0.399
721,189.996,0.290,0.402
722,189.091,0.289,0.402
723,190.653,0.292,0.400
724,190.016,0.291,0.398
725,189.597,0.290,0.399
726,189.334,0.290,0.400
727,190.155,0.292,0.397
728,190.699,0.293,0.399
729,189.803,0.292,0.398
730,189.318,0.291,0.396
731,187.975,0.289,0.400
732,188.152,0.290,0.395
733,189.086,0.291,0.396
734,189.303,0.292,0.398
735,188.895,0.292,0.392
736,187.636,0.290,0.395
737,187.696,0.290,0.398
738,187.604,0.290,0.394
739,187.600,0.290,0.396
740,186.413,0.288,0.394
741,187.041,0.290,0.394
742,186.316,0.289,0.395
743,187.841,0.291,0.394
744,187.366,0.291,0.391
745,187.003,0.291,0.389
746,185.843,0.289,0.388
747,187.258,0.291,0.390
748,186.960,0.291,0.391
749,185.949,0.290,0.391
750,186.205,0.290,0.386
751,186.827,0.292,0.388
752,186.453,0.291,0.388
753,184.993,0.289,0.385
754,185.308,0.290,0.390
755,185.242,0.290,0.386
756,186.465,0.292,0.383
757,184.897,0.290,0.385
758,185.363,0.291,0.386
759,184.222,0.289,0.388
760,184.710,0.290,0.389
761,184.875,0.290,0.390
762,184.622,0.290,0.385
763,184.122,0.290,0.384
764,183.825,0.290,0.383
765,184.401,0.291,0.384
766,183.313,0.289,0.388
767,184.538,0.292,0.379
768,182.476,0.288,0.380
769,182.839,0.289,0.381
770,183.054,0.290,0.381
771,183.371,0.291,0.378
772,183.178,0.290,0.379
773,181.824,0.288,0.381
774,182.441,0.290,0.379
775,181.832,0.289,0.380
776,181.285,0.288,0.379
777,182.028,0.290,0.374
778,181.490,0.289,0.379
779,182.598,0.291,0.377
780,181.123,0.289,0.379
781,181.583,0.290,0.377
782,181.178,0.289,0.375
783,180.867,0.289,0.374
784,180.733,0.289,0.377
785,183.040,0.293,0.377
786,180.189,0.288,0.380
787,179.843,0.288,0.377
788,180.539,0.290,0.376
789,181.642,0.292,0.377
790,180.150,0.289,0.371
791,181.273,0.292,0.374
792,179.162,0.288,0.373
793,180.644,0.291,0.373
794,178.724,0.288,0.376
795,178.601,0.288,0.375
796,179.345,0.289,0.370
797,181.414,0.293,0.371
798,179.592,0.290,0.370
799,178.107,0.288,0.372
800,178.494,0.289,0.372
801,179.173,0.290,0.371
802,178.864,0.290,0.372
803,178.308,0.289,0.373
804,178.416,0.290,0.368
805,177.660,0.289,0.367
806,177.715,0.289,0.368
807,177.826,0.289,0.368
808,176.479,0.287,0.369
809,178.566,0.291,0.364
810,178.290,0.291,0.366
811,178.021,0.291,0.368
812,177.406,0.290,0.367
813,177.117,0.289,0.369
814,176.862,0.289,0.366
815,176.333,0.289,0.364
816,176.170,0.289,0.366
817,176.801,0.290,0.364
818,175.520,0.288,0.363
819,175.454,0.288,0.365
820,176.011,0.289,0.363
821,176.558,0.290,0.363
822,176.151,0.290,0.361
823,175.300,0.289,0.363
824,174.619,0.288,0.363
825,175.171,0.289,0.362
826,175.619,0.290,0.362
827,174.542,0.288,0.360
828,174.386,0.288,0.360
829,177.687,0.294,0.358
830,174.854,0.290,0.359
831,175.192,0.290,0.361
832,173.718,0.288,0.361
833,172.817,0.287,0.361
834,173.588,0.288,0.360
835,174.036,0.290,0.355
836,173.230,0.288,0.355
837,174.495,0.291,0.359
838,173.179,0.289,0.358
839,173.072,0.288,0.361
840,172.842,0.288,0.361
841,173.622,0.290,0.359
842,173.805,0.291,0.356
843,172.972,0.290,0.354
844,174.137,0.292,0.354
845,172.192,0.289,0.353
846,172.077,0.289,0.354
847,171.537,0.288,0.357
848,171.153,0.287,0.355
849,171.692,0.289,0.353
850,171.335,0.288,0.356
851,170.771,0.288,0.352
852,170.550,0.287,0.349
853,170.941,0.288,0.354
854,172.209,0.291,0.351
855,170.562,0.288,0.352
856,169.774,0.287,0.352
857,170.252,0.288,0.353
858,170.485,0.289,0.352
859,170.149,0.288,0.352
860,171.496,0.291,0.350
861,169.484,0.288,0.348
862,169.073,0.287,0.348
863,169.710,0.288,0.350
864,169.361,0.288,0.349
865,170.465,0.290,0.348
866,169.281,0.288,0.349
867,169.002,0.288,0.351
868,169.345,0.289,0.346
869,168.481,0.288,0.347
870,168.197,0.287,0.349
871,168.152,0.288,0.349
872,168.279,0.288,0.347
873,167.718,0.287,0.346
874,169.123,0.290,0.343
875,167.934,0.288,0.349
876,167.574,0.288,0.345
877,167.616,0.288,0.345
878,168.019,0.289,0.346
879,167.451,0.288,0.344
880,167.242,0.288,0.344
881,167.026,0.288,0.348
882,165.767,0.286,0.347
883,166.183,0.287,0.345
884,167.651,0.290,0.343
885,166.679,0.288,0.344
886,167.663,0.290,0.345
887,166.005,0.288,0.343
888,167.005,0.290,0.340
889,165.502,0.287,0.343
890,166.157,0.289,0.340
891,165.779,0.288,0.344
892,166.966,0.291,0.341
893,165.472,0.288,0.342
894,165.140,0.288,0.340
895,164.095,0.286,0.338
896,164.228,0.287,0.339
897,164.218,0.287,0.341
898,166.121,0.291,0.338
899,165.318,0.289,0.341
900,164.391,0.288,0.341
901,163.864,0.287,0.340
902,163.913,0.288,0.337
903,163.800,0.288,0.339
904,163.966,0.288,0.338
905,163.047,0.287,0.335
906,163.623,0.288,0.337
907,163.801,0.289,0.338
908,164.911,0.291,0.336
909,163.670,0.289,0.334
910,163.115,0.288,0.335
911,164.104,0.290,0.335
912,162.650,0.288,0.336
913,162.451,0.288,0.337
914,161.864,0.287,0.336
915,161.733,0.287,0.337
916,162.045,0.287,0.337
917,163.285,0.290,0.332
918,161.350,0.287,0.334
919,162.420,0.289,0.332
920,161.459,0.287,0.334
921,161.743,0.288,0.335
922,161.838,0.289,0.329
923,161.498,0.289,0.329
924,162.041,0.290,0.331
925,160.997,0.288,0.332
926,161.683,0.289,0.334
927,161.084,0.289,0.330
928,160.940,0.288,0.334
929,160.656,0.288,0.333
930,160.894,0.289,0.331
931,161.528,0.290,0.333
932,160.087,0.288,0.330
933,160.585,0.289,0.325
934,159.594,0.288,0.328
935,160.499,0.290,0.328
936,159.423,0.288,0.328
937,160.504,0.290,0.329
938,159.201,0.288,0.327
939,158.798,0.287,0.329
940,159.084,0.288,0.327
941,160.068,0.290,0.328
942,158.271,0.287,0.328
943,158.134,0.287,0.326
944,158.023,0.287,0.328
945,158.929,0.289,0.325
946,158.820,0.289,0.327
947,158.045,0.288,0.327
948,157.031,0.286,0.327
949,160.076,0.292,0.326
950,157.178,0.287,0.327
951,157.701,0.288,0.327
952,157.433,0.288,0.322
953,156.947,0.288,0.324
954,157.668,0.289,0.323
955,157.471,0.289,0.324
956,156.960,0.288,0.323
957,157.753,0.290,0.322
958,157.060,0.289,0.325
959,157.225,0.290,0.322
960,155.595,0.287,0.325
961,156.204,0.288,0.321
962,155.630,0.287,0.320
963,155.852,0.288,0.322
964,155.558,0.288,0.319
965,154.817,0.287,0.320
966,155.732,0.288,0.322
967,156.777,0.291,0.319
968,156.360,0.290,0.323
969,155.268,0.288,0.319
970,154.786,0.288,0.322
971,155.596,0.290,0.320
972,154.034,0.287,0.320
973,154.254,0.288,0.318
974,153.917,0.287,0.320
975,153.870,0.287,0.316
976,154.130,0.288,0.317
977,153.844,0.288,0.317
978,153.827,0.288,0.316
979,153.287,0.287,0.318
980,153.565,0.288,0.316
981,152.836,0.287,0.317
982,153.606,0.289,0.316
983,154.208,0.290,0.319
984,152.688,0.287,0.316
985,152.415,0.287,0.314
986,152.070,0.287,0.315
987,152.394,0.288,0.317
988,151.888,0.287,0.317
989,152.622,0.289,0.314
990,152.531,0.289,0.313
991,151.950,0.288,0.315
992,151.725,0.287,0.317
993,151.250,0.287,0.314
